DateTime,Entries,UniqueIPs
1528926500,3469,3469
1528928438,3454,3454
1528931673,2840,2840
1528933475,485,485
1528935398,485,485
1528937430,479,479
1528939234,474,474
1528941144,476,476
1528943062,472,472
1528946185,452,452
1528948090,443,443
1528950010,431,431
1528951946,430,430
1528953854,432,432
1528955770,431,431
1528957709,436,436
1528959751,434,434
1528961774,431,431
1528963702,423,423
1528965634,417,417
1528967534,409,409
1528969470,396,396
1528971375,384,384
1528973309,382,382
1528975218,373,373
1528977134,369,369
1528979063,375,375
1528980981,365,365
1528982915,366,366
1528984896,363,363
1528986755,357,357
1528988664,354,354
1528990577,354,354
1528992538,344,344
1528994418,341,341
1528996343,333,333
1528998273,327,327
1529000185,324,324
1529002098,326,326
1529004029,315,315
1529005941,304,304
1529007855,301,301
1529009788,297,297
1529011858,293,293
1529013742,290,290
1529016830,285,285
1529018671,285,285
1529020574,282,282
1529022509,287,287
1529024501,283,283
1529026338,279,279
1529028282,272,272
1529030178,280,280
1529032101,292,292
1529034030,294,294
1529035946,293,293
1529037859,294,294
1529039793,288,288
1529041704,286,286
1529043634,286,286
1529045554,290,290
1529047470,290,290
1529049390,291,291
1529051304,287,287
1529053302,281,281
1529055156,283,283
1529057069,279,279
1529058979,271,271
1529060920,272,272
1529062818,274,274
1529065895,267,267
1529067858,264,264
1529069784,267,267
1529071712,267,267
1529073619,270,270
1529075550,265,265
1529077470,256,256
1529079378,251,251
1529081307,248,248
1529083233,249,249
1529085134,247,247
1529087079,245,245
1529088981,241,241
1529091783,245,245
1529093884,240,240
1529096014,239,239
1529097844,239,239
1529099864,236,236
1529101739,239,239
1529103760,245,245
1529105579,247,247
1529107459,262,262
1529109397,266,266
1529111322,270,270
1529113244,276,276
1529115150,274,274
1529117100,265,265
1529118987,258,258
1529120934,255,255
1529122833,252,252
1529124779,250,250
1529126658,251,251
1529128611,250,250
1529130757,245,245
1529132662,240,240
1529134587,235,235
1529136546,235,235
1529138421,237,237
1529140376,234,234
1529142292,232,232
1529144198,232,232
1529146100,230,230
1529148053,225,225
1529149943,225,225
1529151879,227,227
1529153797,226,226
1529155714,228,228
1529157699,226,226
1529159582,225,225
1529161465,222,222
1529163394,223,223
1529165337,227,227
1529167257,230,230
1529169141,232,232
1529171244,231,231
1529173225,247,247
1529175133,1790,1790
1529177055,1791,1791
1529178985,1792,1792
1529180895,1795,1795
1529182903,1801,1801
1529184750,1810,1810
1529186675,1808,1808
1529189076,1804,1804
1529190983,1802,1802
1529192904,1794,1794
1529194843,1780,1780
1529196734,1786,1786
1529198657,1780,1780
1529200611,1781,1781
1529202508,1777,1777
1529204501,1776,1776
1529206361,1778,1778
1529208268,1778,1778
1529210180,1778,1778
1529212120,1784,1784
1529214039,1788,1788
1529215943,1787,1787
1529217880,1791,1791
1529219783,1802,1802
1529221703,1803,1803
1529223639,1800,1800
1529225542,1809,1809
1529227471,1809,1809
1529229394,1808,1808
1529231304,1811,1811
1529233301,1816,1816
1529235158,1816,1816
1529237074,1815,1815
1529238982,1812,1812
1529240918,1812,1812
1529242822,1809,1809
1529244748,1814,1814
1529246682,1815,1815
1529248584,1814,1814
1529250501,1815,1815
1529252440,1817,1817
1529254347,1814,1814
1529256266,1817,1817
1529258203,1817,1817
1529260101,1646,1646
1529262095,241,241
1529263960,238,238
1529265878,241,241
1529267779,242,242
1529269719,236,236
1529271628,238,238
1529273704,244,244
1529275715,250,250
1529277610,255,255
1529279531,259,259
1529281469,263,263
1529283371,258,258
1529285292,260,260
1529287292,265,265
1529289138,270,270
1529291056,277,277
1529292984,281,281
1529294895,284,284
1529296811,285,285
1529298754,282,282
1529300655,277,277
1529302569,276,276
1529304505,277,277
1529306411,271,271
1529308329,272,272
1529310269,270,270
1529312169,264,264
1529314091,264,264
1529316095,266,266
