DateTime,AddedIPs,RemovedIPs
1528998273,5,11
1529000185,6,9
1529002098,7,5
1529004029,2,13
1529005941,2,13
1529007855,2,5
1529009788,3,7
1529011858,3,7
1529013742,3,6
1529016830,5,10
1529018671,4,4
1529020574,3,6
1529022509,6,1
1529024501,3,7
1529026338,1,5
1529028282,5,12
1529030178,11,3
1529032101,12,0
1529034030,6,4
1529035946,2,3
1529037859,6,5
1529039793,3,9
1529041704,0,2
1529043634,3,3
1529045554,8,4
1529047470,2,2
1529049390,5,4
1529051304,3,7
1529053302,4,10
1529055156,3,1
1529057069,1,5
1529058979,1,9
1529060920,4,3
1529062818,3,1
1529065895,4,11
1529067858,3,6
1529069784,6,3
1529071712,2,2
1529073619,5,2
1529075550,1,6
1529077470,1,10
1529079378,1,6
1529081307,0,3
1529083233,2,1
1529085134,4,6
1529087079,3,5
1529088981,3,7
1529091783,5,1
1529093884,0,5
1529096014,1,2
1529097844,1,1
1529099864,1,4
1529101739,3,0
1529103760,9,3
1529105579,4,2
1529107459,17,2
1529109397,10,6
1529111322,7,3
1529113244,8,2
1529115150,3,5
1529117100,5,14
1529118987,1,8
1529120934,1,4
1529122833,1,4
1529124779,1,3
1529126658,3,2
1529128611,1,2
1529130757,1,6
1529132662,0,5
1529134587,1,6
1529136546,3,3
1529138421,4,2
1529140376,1,4
1529142292,2,4
1529144198,2,2
1529146100,1,3
1529148053,1,6
1529149943,4,4
1529151879,7,5
1529153797,2,3
1529155714,9,7
1529157699,2,4
1529159582,2,3
1529161465,1,4
1529163394,2,1
1529165337,5,1
1529167257,6,3
1529169141,2,0
1529171244,5,6
1529173225,18,2
1529175133,1545,2
1529177055,3,2
1529178985,2,1
1529180895,4,1
1529182903,7,1
1529184750,10,1
1529186675,0,2
1529189076,0,4
1529190983,5,7
1529192904,1,9
1529194843,2,16
1529196734,11,5
1529198657,1,7
1529200611,4,3
1529202508,0,4
1529204501,1,2
1529206361,3,1
1529208268,2,2
1529210180,1,1
1529212120,6,0
1529214039,4,0
1529215943,0,1
1529217880,5,1
1529219783,11,0
1529221703,1,0
1529223639,3,6
1529225542,12,3
1529227471,2,2
1529229394,0,1
1529231304,5,2
1529233301,8,3
1529235158,3,3
1529237074,2,3
1529238982,2,5
1529240918,2,2
1529242822,1,4
1529244748,9,4
1529246682,2,1
1529248584,1,2
1529250501,5,4
1529252440,6,4
1529254347,1,4
1529256266,3,0
1529258203,4,4
1529260101,1,172
1529262095,6,1411
1529263960,3,6
1529265878,6,3
1529267779,3,2
1529269719,4,10
1529271628,8,6
1529273704,8,2
1529275715,6,0
1529277610,9,4
1529279531,5,1
1529281469,5,1
1529283371,5,10
1529285292,3,1
1529287292,7,2
1529289138,6,1
1529291056,9,2
1529292984,6,2
1529294895,4,1
1529296811,2,1
1529298754,3,6
1529300655,1,6
1529302569,0,1
1529304505,4,3
1529306411,5,11
1529308329,3,2
1529310269,2,4
1529312169,5,11
1529314091,4,4
1529316095,3,1
