DateTime,Entries,UniqueIPs
1528639838,82,82
1528643676,82,82
1528645360,79,79
1528648121,80,80
1528648957,81,81
1528652558,80,80
1528654242,81,81
1528656163,81,81
1528658087,80,80
1528661681,80,80
1528663383,79,79
1528666965,78,78
1528670081,73,73
1528676143,74,74
1528678722,75,75
1528679669,76,76
1528681425,77,77
1528684272,78,78
1528685808,79,79
1528686871,76,76
1528689404,77,77
1528692173,75,75
1528694069,77,77
1528695776,78,78
1528704882,77,77
1528706141,78,78
1528707947,84,84
1528708480,99,99
1528710171,98,98
1528711740,99,99
1528713335,100,100
1528715675,99,99
1528718191,100,100
1528720833,101,101
1528724577,102,102
1528731337,103,103
1528735366,102,102
1528737344,102,102
1528738955,100,100
1528740880,99,99
1528742457,98,98
1528747845,102,102
1528749749,103,103
1528751143,101,101
1528753362,96,96
1528756954,94,94
1528758336,98,98
1528761397,100,100
1528762539,100,100
1528764942,102,102
1528767329,101,101
1528768480,102,102
1528769692,96,96
1528770951,93,93
1528775763,92,92
1528776947,91,91
1528778558,91,91
1528782152,90,90
1528782999,91,91
1528786595,93,93
1528788953,94,94
1528792108,95,95
1528793388,94,94
1528794642,92,92
1528795787,91,91
1528800158,92,92
1528800996,93,93
1528802158,94,94
1528805101,95,95
1528806524,96,96
1528809284,97,97
1528812942,98,98
1528815051,97,97
1528816469,98,98
1528819000,92,92
1528820139,91,91
1528821763,93,93
1528824657,91,91
1528827275,92,92
1528832174,92,92
1528837352,91,91
1528841680,93,93
1528844736,94,94
1528845901,95,95
1528846963,94,94
1528848939,93,93
1528850556,94,94
1528851401,95,95
1528852545,93,93
1528856081,94,94
1528857764,95,95
1528865434,93,93
1528866639,94,94
1528874148,95,95
1528875380,97,97
1528877669,98,98
1528879351,74,74
1528880747,74,74
1528882124,75,75
1528890998,76,76
1528895679,75,75
1528897128,76,76
1528900961,77,77
1528902335,78,78
1528906003,70,70
1528908149,72,72
1528909526,73,73
1528910909,74,74
1528912230,75,75
1528916208,76,76
1528918108,75,75
1528919434,76,76
1528920868,77,77
1528925309,78,78
1528928083,76,76
1528928914,77,77
1528929756,76,76
1528931143,77,77
1528934192,77,77
1528935343,75,75
1528936956,76,76
1528938882,78,78
1528940456,78,78
1528942240,81,81
1528943506,82,82
1528944944,83,83
1528946145,84,84
1528949681,84,84
1528951114,85,85
1528952736,85,85
1528953274,86,86
1528955821,88,88
1528956881,87,87
1528958135,86,86
1528961750,84,84
1528962971,85,85
1528964070,87,87
1528967674,88,88
1528970874,87,87
1528972669,86,86
1528977933,85,85
1528979129,86,86
1528982067,87,87
1528983663,87,87
1528985747,88,88
1528986509,89,89
1528987358,88,88
1528989341,87,87
1528990869,82,82
1528992889,85,85
1528995336,87,87
1529001763,87,87
1529005213,88,88
1529007043,89,89
1529008949,90,90
1529010878,91,91
1529012140,89,89
1529014480,88,88
1529016935,87,87
1529018142,88,88
1529019646,89,89
1529021675,85,85
1529023366,84,84
1529025268,87,87
1529028300,86,86
1529029724,88,88
1529030558,89,89
1529032484,91,91
1529035841,90,90
1529037068,91,91
1529039740,91,91
1529041348,92,92
1529042195,93,93
1529043336,92,92
1529044958,89,89
1529045797,92,92
1529050113,93,93
1529051449,93,93
1529057737,95,95
1529060188,96,96
1529065724,103,103
1529067390,105,105
1529070054,104,104
1529072085,103,103
1529073748,104,104
1529076509,105,105
1529077833,98,98
1529079278,97,97
1529080950,96,96
1529082878,98,98
1529084547,100,100
1529086553,101,101
1529088062,98,98
1529090077,98,98
1529090984,97,97
1529094947,99,99
1529096114,118,118
1529098539,116,116
1529100939,114,114
1529102549,116,116
1529103393,117,117
1529104478,118,118
1529108141,116,116
1529108911,115,115
1529110238,112,112
1529111673,111,111
1529113243,109,109
1529115051,106,106
1529120557,105,105
1529122195,104,104
1529124156,104,104
1529126142,103,103
1529132189,104,104
1529133342,103,103
1529134954,105,105
1529136868,106,106
1529138160,107,107
1529140543,106,106
1529144067,106,106
1529145659,107,107
1529149052,109,109
1529150184,112,112
1529151271,111,111
1529153444,110,110
1529156560,108,108
1529158480,108,108
1529160996,109,109
1529162143,108,108
1529163757,104,104
1529165668,108,108
1529166523,109,109
1529171804,110,110
1529172944,109,109
1529174130,110,110
1529176467,108,108
1529177308,110,110
1529180068,109,109
1529180907,110,110
1529183361,111,111
1529185258,112,112
1529187268,112,112
1529190880,113,113
1529193401,114,114
1529194468,116,116
1529196586,116,116
1529199763,116,116
1529201693,114,114
1529203240,115,115
1529205941,118,118
1529206969,117,117
1529209844,118,118
1529211342,119,119
1529212480,118,118
1529216073,116,116
1529217662,118,118
1529219683,117,117
1529222195,118,118
1529227882,118,118
1529228557,119,119
1529230476,119,119
1529233843,118,118
1529236740,112,112
1529243796,114,114
1529244880,115,115
1529246141,116,116
1529248479,116,116
1529250514,108,108
1529251840,104,104
1529253056,102,102
1529255742,101,101
1529257833,100,100
1529259041,99,99
1529261006,100,100
1529262337,102,102
1529263853,101,101
1529265390,100,100
1529266542,82,82
1529268147,83,83
1529273687,81,81
1529274811,84,84
1529277277,85,85
1529278963,86,86
1529279798,87,87
1529280924,88,88
1529282245,87,87
1529284534,90,90
1529291674,89,89
1529293357,89,89
1529295278,90,90
1529296840,89,89
1529298869,90,90
1529301396,90,90
1529302554,91,91
1529304655,91,91
1529305841,90,90
1529306914,92,92
1529307753,88,88
1529309718,92,92
1529310508,93,93
1529311349,92,92
1529315273,92,92
1529316876,93,93
